TIME,GEO,AGE,SEX,Value
1977,Italie,Total,Total,55847553
1977,Chypre,Total,Total,497600
1977,Lituanie,Total,Total,3342533
1977,Malte,Total,Total,304997
1977,Suisse,Total,Total,6284029
1977,Monaco,Total,Total,NaN
1978,Belgique,Total,Total,9837413
1978,Bulgarie,Total,Total,8822602
1978,Estonie,Total,Total,1455900
1978,France,Total,Total,NaN
1978,Italie,Total,Total,56063269
1978,Chypre,Total,Total,498000
1978,Lituanie,Total,Total,3367538
1978,Malte,Total,Total,308942
1978,Suisse,Total,Total,6278319
1978,Monaco,Total,Total,NaN
1979,Belgique,Total,Total,9841654
1979,Bulgarie,Total,Total,8805462
1979,Estonie,Total,Total,1464476
1979,France,Total,Total,NaN
1979,Italie,Total,Total,56247017
1979,Chypre,Total,Total,501300
1979,Lituanie,Total,Total,3391490
1979,Malte,Total,Total,311421
1979,Suisse,Total,Total,6285156
1979,Monaco,Total,Total,NaN
1980,Belgique,Total,Total,9855110
1980,Bulgarie,Total,Total,8846417
1980,Estonie,Total,Total,1472190
1980,France,Total,Total,NaN
1980,Italie,Total,Total,56388480
1980,Chypre,Total,Total,505800
1980,Lituanie,Total,Total,3404194
1980,Malte,Total,Total,315262
1980,Suisse,Total,Total,6303573
1980,Monaco,Total,Total,NaN
1981,Belgique,Total,Total,9863374
1981,Bulgarie,Total,Total,8876652
1981,Estonie,Total,Total,1482247
1981,France,Total,Total,NaN
1981,Italie,Total,Total,56479285
1981,Chypre,Total,Total,512300
1981,Lituanie,Total,Total,3422210
1981,Malte,Total,Total,318028
1981,Suisse,Total,Total,6335243
1981,Monaco,Total,Total,NaN
1982,Belgique,Total,Total,9854589
1982,Bulgarie,Total,Total,8905581
1982,Estonie,Total,Total,1493085
1982,France,Total,Total,NaN
1982,Italie,Total,Total,56524064
1982,Chypre,Total,Total,522845
1982,Lituanie,Total,Total,3443684
1982,Malte,Total,Total,319936
1982,Suisse,Total,Total,6372904
1982,Monaco,Total,Total,NaN
1983,Belgique,Total,Total,9858017
1983,Bulgarie,Total,Total,8929332
1983,Estonie,Total,Total,1503743
1983,France,Total,Total,NaN
1983,Italie,Total,Total,56563031
1983,Chypre,Total,Total,524623
1983,Lituanie,Total,Total,3470673
1983,Malte,Total,Total,331859
1983,Suisse,Total,Total,6409713
1983,Monaco,Total,Total,NaN
1984,Belgique,Total,Total,9853023
1984,Bulgarie,Total,Total,8950144
1984,Estonie,Total,Total,1513747
1984,France,Total,Total,NaN
1984,Italie,Total,Total,56565117
1984,Chypre,Total,Total,531518
1984,Lituanie,Total,Total,3499711
1984,Malte,Total,Total,329189
1984,Suisse,Total,Total,6427833
1984,Monaco,Total,Total,NaN
1985,Belgique,Total,Total,9857721
1985,Bulgarie,Total,Total,8971214
1985,Estonie,Total,Total,1523486
1985,France,Total,Total,NaN
1985,Italie,Total,Total,56588319
1985,Chypre,Total,Total,538397
1985,Lituanie,Total,Total,3528698
1985,Malte,Total,Total,331997
1985,Suisse,Total,Total,6455896
1985,Monaco,Total,Total,NaN
1986,Belgique,Total,Total,9858895
1986,Bulgarie,Total,Total,8949880
1986,Estonie,Total,Total,1534076
1986,France,Total,Total,NaN
1986,Italie,Total,Total,56597823
1986,Chypre,Total,Total,544605
1986,Lituanie,Total,Total,3560388
1986,Malte,Total,Total,340907
1986,Suisse,Total,Total,6484834
1986,Monaco,Total,Total,NaN
1987,Belgique,Total,Total,9864751
1987,Bulgarie,Total,Total,8966462
1987,Estonie,Total,Total,1546304
1987,France,Total,Total,NaN
1987,Italie,Total,Total,56594487
1987,Chypre,Total,Total,550888
1987,Lituanie,Total,Total,3597439
1987,Malte,Total,Total,343334
